Symbol,Date,Open,High,Low,Close,Volume,Amount,Source
600276,2025-07-08,2748.7461463,2800.9144163,2738.834175,2785.785618,35926315,1916547622.98,baostock
600276,2025-07-09,2785.785618,3022.6295638,2765.9616754,2983.5033613,115821169,6507788433.09,baostock
600276,2025-07-10,2980.3732651,3040.3667756,2953.2457647,3004.892352,90371570,5204345945.53,baostock
600276,2025-07-11,3000.1972077,3032.0198524,2967.3311976,2968.374563,65863171,3779524292.22,baostock
600276,2025-07-14,2960.5493225,3028.3680735,2950.6373512,2984.5467267,47375836,2714468293.28,baostock
600276,2025-07-15,2986.6334575,3001.2405731,2948.5506204,2985.0684094,43692847,2491977101.7,baostock
600276,2025-07-16,3007.5007655,3072.711103,2975.6781208,2985.0684094,39819120,2293530536.59,baostock
600276,2025-07-17,2968.374563,3020.542833,2965.2444668,3011.6742271,44414628,2553187389.03,baostock
600276,2025-07-18,3036.7149967,3122.7926422,3020.542833,3065.4075452,66098565,3881474080.51,baostock
600276,2025-07-21,3051.843795,3067.494276,3009.0658136,3025.75966,50944185,2960736582.02,baostock
600276,2025-07-22,3025.75966,3070.1026895,2984.025044,2994.9803807,47557025,2753253571.31,baostock
600276,2025-07-23,2984.025044,3029.9331216,2966.8095149,2980.3732651,42529511,2440208238.83,baostock
600276,2025-07-24,2996.5454288,3024.7162946,2970.9829765,2999.675525,46583415,2670846697.64,baostock
600276,2025-07-25,2999.675525,3002.2839385,2939.6820145,2942.290428,50539423,2873987055.32,baostock
600276,2025-07-28,3135.313027,3236.5194708,3112.3589882,3236.5194708,163009595,9943549096.52,baostock
600276,2025-07-29,3286.60101,3413.3699061,3241.2146151,3328.335626,168276889,10731327178.53,baostock
600276,2025-07-30,3328.8573087,3376.8521171,3268.3421155,3317.3802893,98084933,6247901661.44,baostock
600276,2025-07-31,3307.468318,3351.8113475,3260.516875,3281.384183,74203875,4690208200.61,baostock
600276,2025-08-01,3277.7324041,3316.8586066,3169.7440852,3198.4366337,73465464,4545894531.03,baostock
600276,2025-08-04,3161.397162,3237.0411535,3130.0962,3234.43274,68961349,4217834708.74,baostock
600276,2025-08-05,3240.1712497,3258.4301442,3211.4787012,3250.083221,54144318,3356911222.41,baostock
600276,2025-08-06,3244.3447113,3263.1252885,3202.0884126,3212.5220666,57247861,3539622159.16,baostock
600276,2025-08-07,3195.3065375,3239.649567,3166.613989,3172.3524987,50476397,3088025791.74,baostock
600276,2025-08-08,3166.613989,3189.0463451,3130.0962,3181.7427873,36297073,2203721882.88,baostock
600276,2025-08-11,3181.7427873,3204.1751434,3165.5706236,3185.9162489,42575238,2600063208.56,baostock
600276,2025-08-12,3198.9583164,3205.7401915,3143.6599502,3174.4392295,39183475,2380971082.18,baostock
600276,2025-08-13,3174.4392295,3313.2068277,3174.4392295,3266.2553847,81529632,5079201588.47,baostock
600276,2025-08-14,3278.7757695,3317.901972,3253.2133172,3277.2107214,57126647,3597162009.84,baostock
600276,2025-08-15,3267.8204328,3352.8547129,3258.4301442,3307.468318,61493254,3908038788.47,baostock
600276,2025-08-18,3307.468318,3336.1608665,3276.6890387,3290.7744716,72885756,4616557070.15,baostock
600276,2025-08-19,3307.468318,3411.804858,3215.1304801,3218.2605763,99770049,6322095611.91,baostock
600276,2025-08-20,3216.6955282,3285.0359619,3188.0029797,3278.7757695,65042442,4025484233.42,baostock
600276,2025-08-21,3337.7259146,3408.1530791,3283.9925965,3338.2475973,85862923,5507421602.91,baostock
600276,2025-08-22,3375.8087517,3401.371204,3329.9006741,3389.8941846,63771891,4115097232.66,baostock
600276,2025-08-25,3389.8941846,3463.973128,3358.0715399,3456.6695702,84923381,5551997680.51,baostock
600276,2025-08-26,3453.539474,3453.539474,3390.93755,3406.588031,57512937,3761929155.51,baostock
600276,2025-08-27,3391.4592327,3427.9770217,3288.6877408,3289.2094235,83616934,5375767158.84,baostock
600276,2025-08-28,3283.9925965,3298.0780294,3203.6534607,3288.1660581,71590154,4469129644.16,baostock
600276,2025-08-29,3288.1660581,3488.4922149,3288.1660581,3455.1045221,102318607,6677635302.2,baostock
600276,2025-09-01,3463.973128,3593.3504376,3438.9323584,3565.7012545,87218089,5917826674.42,baostock
600276,2025-09-02,3641.345246,3691.9484679,3537.008706,3592.8287549,108448969,7512721689.48,baostock
600276,2025-09-03,3589.176976,3830.1943834,3589.176976,3755.0720746,112936901,8078844874.45,baostock
600276,2025-09-04,3718.0326029,3734.2047666,3521.358225,3581.3517355,110289406,7625423229.07,baostock
600276,2025-09-05,3599.61063,3807.2403446,3599.61063,3780.6345269,93647856,6663122815.02,baostock
600276,2025-09-08,3808.28371,3853.6701049,3737.3348628,3772.2876037,74820928,5423039920.68,baostock
600276,2025-09-09,3764.9840459,3862.5387108,3676.8196696,3708.6423143,76767009,5517534684.18,baostock
600276,2025-09-10,3695.6002468,3744.1167379,3655.9523616,3668.4727464,46820413,3306783038.81,baostock
600276,2025-09-11,3473.3634166,3571.9614469,3338.76928,3562.5711583,194235937,12928573363.5,baostock
600276,2025-09-12,3562.0494756,3626.2164477,3540.1388022,3600.1323127,83121521,5710845364.52,baostock
600276,2025-09-15,3591.7853895,3635.6067363,3561.0061102,3604.827457,61188153,4225790378.85,baostock
600276,2025-09-16,3604.827457,3617.3478418,3565.1795718,3607.4358705,43458205,2991348434.48,baostock
600276,2025-09-17,3615.261111,3693.513516,3615.261111,3658.5607751,58603371,4103135888.87,baostock
600276,2025-09-18,3680.9931312,3814.5439024,3646.562073,3708.6423143,86563888,6173830339.94,baostock
600276,2025-09-19,3709.163997,3716.4675548,3625.1730823,3633.5200055,52439242,3681125691.6,baostock
600276,2025-09-22,3677.3413523,3792.633229,3672.646208,3706.5555835,57654243,4118513260.69,baostock
600276,2025-09-23,3703.94717,3713.8591413,3573.526495,3636.128419,56132957,3909219697.11,baostock
600276,2025-09-24,3636.128419,3671.6028426,3615.261111,3657.5174097,39530211,2763214641.33,baostock
600276,2025-09-25,3776.982748,3812.4571716,3732.6397185,3770.2008729,73903918,5347121398.96,baostock
600276,2025-09-26,3693.513516,3723.2494299,3611.6093321,3655.9523616,69904485,4900954441.11,baostock
600276,2025-09-29,3640.8235633,3640.8235633,3534.9219752,3610.044284,64799104,4442889452.98,baostock
600276,2025-09-30,3599.61063,3734.2047666,3589.176976,3732.6397185,57945078,4079739678.92,baostock
600276,2025-10-09,3733.1614012,3738.3782282,3605.3491397,3711.7724105,59279340,4173571947.93,baostock
600276,2025-10-10,3671.6028426,3697.6869776,3539.6171195,3557.876014,70610070,4868800902.68,baostock
600276,2025-10-13,3443.10582,3549.0074081,3427.455339,3494.2307246,53228709,3555005477.87,baostock
600276,2025-10-14,3527.0967347,3529.7051482,3323.118799,3352.8547129,70294663,4593967582.87,baostock
600276,2025-10-15,3349.202934,3465.0164934,3322.0754336,3463.973128,51123163,3335928393.14,baostock
600276,2025-10-16,3465.5381761,3573.526495,3428.4987044,3486.9271668,46037757,3096812047.99,baostock
600276,2025-10-17,3487.4488495,3516.141398,3390.93755,3396.154377,34950734,2298728244.63,baostock
600276,2025-10-20,3442.5841373,3469.7116377,3382.0689441,3397.7194251,32671694,2146357392.2,baostock
600276,2025-10-21,3417.021685,3473.3634166,3398.2411078,3443.10582,36956031,2436269459.0,baostock
600276,2025-10-22,3456.1478875,3484.3187533,3391.4592327,3404.5013002,39804808,2610971756.41,baostock
600276,2025-10-23,3391.4592327,3413.3699061,3339.8126454,3398.2411078,34278526,2219041425.22,baostock
600276,2025-10-24,3404.5013002,3461.8863972,3391.4592327,3417.021685,37275277,2441099937.78,baostock
600276,2025-10-27,3471.7983685,3539.6171195,3469.7116377,3495.7957727,50892492,3413538792.99,baostock
600276,2025-10-28,3402.4145694,3414.9349542,3312.685145,3318.9453374,108208999,6923383032.71,baostock
600276,2025-10-29,3317.901972,3363.8100496,3271.4722117,3339.8126454,56217455,3577122184.9,baostock
600276,2025-10-30,3339.8126454,3339.8126454,3279.8191349,3280.3408176,60874000,3856500507.43,baostock
600276,2025-10-31,3305.3815872,3416.5000023,3297.034664,3346.5945205,83706390,5386074734.27,baostock
600276,2025-11-03,3388.8508192,3390.4158673,3277.2107214,3307.468318,46030561,2924454178.25,baostock
600276,2025-11-04,3308.5116834,3310.0767315,3210.9570185,3230.2592784,51560966,3215841267.2,baostock
600276,2025-11-05,3197.914951,3259.9951923,3193.7414894,3232.3460092,33438078,2074291418.58,baostock
600276,2025-11-06,3231.8243265,3260.516875,3206.7835569,3256.3434134,25252395,1567372106.1,baostock
600276,2025-11-07,3234.43274,3259.9951923,3208.348605,3212.5220666,27065428,1670988958.23,baostock
600276,2025-11-10,3212.0003839,3230.7809611,3180.1777392,3225.5641341,39624830,2431973885.44,baostock
600276,2025-11-11,3231.8243265,3244.866394,3182.26447,3185.3945662,27515998,1687561579.79,baostock
600276,2025-11-12,3186.9596143,3279.2974522,3186.9596143,3239.649567,51426776,3203516791.26,baostock
600276,2025-11-13,3270.4288463,3327.8139433,3246.4314421,3315.8152412,50831837,3211808939.35,baostock
600276,2025-11-14,3310.0767315,3333.552453,3274.0806252,3281.384183,31950414,2021555066.09,baostock
600276,2025-11-17,3280.8625003,3289.2094235,3203.6534607,3223.999086,31538452,1952561578.26,baostock
600276,2025-11-18,3214.0871147,3278.7757695,3209.3919704,3222.9557206,21910059,1359324791.37,baostock
600276,2025-11-19,3208.348605,3222.9557206,3183.3078354,3188.0029797,21116242,1295307074.71,baostock
600276,2025-11-20,3194.2631721,3216.1738455,3158.2670658,3162.9622101,25348006,1544020769.84,baostock
600276,2025-11-21,3147.3117291,3187.481297,3094.1000937,3104.012065,44733534,2679336096.59,baostock
600276,2025-11-24,3132.1829308,3187.481297,3128.0094692,3164.5272582,34397324,2083464657.65,baostock
600276,2025-11-25,3187.481297,3214.0871147,3157.7453831,3176.0042776,26504513,1620797703.8,baostock
600276,2025-11-26,3208.348605,3276.167356,3183.8295181,3253.2133172,43986195,2739532775.46,baostock
600276,2025-11-27,3265.733702,3284.5142792,3231.3026438,3239.1278843,25730763,1604386051.85,baostock
600276,2025-11-28,3253.2133172,3253.2133172,3214.0871147,3238.6062016,20277619,1257510630.72,baostock
600276,2025-12-01,3238.6062016,3239.1278843,3185.3945662,3231.3026438,25483095,1567868103.13,baostock
600276,2025-12-02,3229.215913,3229.215913,3182.26447,3188.5246624,18230614,1115986037.28,baostock
600276,2025-12-03,3187.481297,3210.9570185,3166.613989,3180.6994219,19852976,1211357997.33,baostock
600276,2025-12-04,3182.7861527,3207.8269223,3180.6994219,3195.3065375,18040766,1103403552.71,baostock
600276,2025-12-05,3192.1764413,3223.4774033,3166.613989,3214.6087974,23117615,1418750951.58,baostock
600276,2025-12-08,3265.733702,3315.2935585,3230.2592784,3258.4301442,50861759,3186857202.33,baostock
600276,2025-12-09,3251.1265864,3346.5945205,3250.083221,3290.7744716,49359339,3131342824.05,baostock
600276,2025-12-10,3294.4262505,3315.8152412,3248.5181729,3306.4249526,28895961,1820981674.88,baostock
600276,2025-12-11,3315.8152412,3335.6391838,3292.3395197,3307.468318,24706127,1569053154.31,baostock
600276,2025-12-12,3301.2081256,3301.2081256,3247.9964902,3301.2081256,31562926,1984535365.49,baostock
600276,2025-12-15,3269.9071636,3269.9071636,3202.0884126,3202.0884126,29007220,1796682727.49,baostock
600276,2025-12-16,3202.0884126,3207.8269223,3061.2340836,3085.7531705,52378486,3112549390.93,baostock
600276,2025-12-17,3096.1868245,3171.830816,3078.4496127,3145.746681,33041782,1980882810.44,baostock
600276,2025-12-18,3132.7046135,3159.8321139,3127.4877865,3130.0962,17930929,1078752359.78,baostock
600276,2025-12-19,3133.7479789,3202.0884126,3125.4010557,3174.4392295,28835842,1753822163.61,baostock
600276,2025-12-22,3172.3524987,3208.348605,3147.3117291,3178.6126911,23670924,1444845736.63,baostock
600276,2025-12-23,3174.4392295,3263.6469712,3173.9175468,3223.999086,32919095,2037549674.28,baostock
600276,2025-12-24,3217.2172109,3234.43274,3186.4379316,3194.2631721,25050206,1539580671.77,baostock
600276,2025-12-25,3193.7414894,3216.6955282,3183.8295181,3203.131778,15518175,952122259.68,baostock
600276,2025-12-26,3197.914951,3216.6955282,3161.397162,3185.3945662,21430781,1311044159.62,baostock
600276,2025-12-29,3185.3945662,3196.3499029,3151.4851907,3156.7020177,28575162,1737055879.01,baostock
600276,2025-12-30,3150.963508,3161.397162,3124.879373,3139.4864886,25330461,1525944032.4,baostock
600276,2025-12-31,3138.4431232,3148.8767772,3104.012065,3107.6638439,26827896,1603948701.6,baostock
600276,2026-01-05,3133.2262962,3312.1634623,3129.5745173,3290.7744716,85117028,5316701688.5,baostock
600276,2026-01-06,3305.3815872,3311.6417796,3255.300048,3289.7311062,46352457,2919198721.61,baostock
600276,2026-01-07,3287.1226927,3380.503896,3286.60101,3330.9440395,52465173,3364332735.79,baostock
600276,2026-01-08,3390.93755,3393.5459635,3288.1660581,3317.901972,44774854,2854769455.78,baostock
600276,2026-01-09,3316.8586066,3349.202934,3276.167356,3327.2922606,42635753,2709908741.33,baostock
600276,2026-01-12,3343.986107,3354.419761,3297.5563467,3330.9440395,42877019,2735494018.92,baostock
600276,2026-01-13,3354.419761,3434.2372141,3341.3776935,3365.8967804,74034035,4818680909.23,baostock
600276,2026-01-14,3367.4618285,3422.238512,3297.034664,3318.4236547,62925534,4049394398.93,baostock
600276,2026-01-15,3295.9912986,3329.9006741,3270.950529,3295.4696159,46761236,2956591609.23,baostock
600276,2026-01-16,3304.8599045,3313.7285104,3216.6955282,3231.3026438,52378628,3262750168.44,baostock
600276,2026-01-19,3223.999086,3254.2566826,3164.5272582,3188.5246624,47389096,2909640709.62,baostock
600276,2026-01-20,3189.0463451,3216.1738455,3150.963508,3156.180335,42775492,2599009141.71,baostock
600276,2026-01-21,3156.7020177,3176.0042776,3122.7926422,3135.313027,54603508,3291737381.24,baostock
600276,2026-01-22,3148.8767772,3148.8767772,3093.578411,3100.8819688,53706813,3203889161.26,baostock
600276,2026-01-23,3116.0107671,3144.1816329,3065.4075452,3077.4062473,80804300,4801931323.75,baostock
600276,2026-01-26,3077.4062473,3086.2748532,3028.3680735,3034.1065832,72732888,4244912106.05,baostock
600276,2026-01-27,3046.1052853,3051.3221123,2980.8949478,2984.025044,63725548,3659971230.91,baostock
600276,2026-01-28,2996.5454288,3015.326006,2937.073601,2950.1156685,87875043,4992876575.19,baostock
600276,2026-01-29,2939.6820145,3045.0619199,2925.5965816,3031.4981697,113782475,6528912260.88,baostock
600276,2026-01-30,3025.75966,3119.1408633,3013.2392752,3034.1065832,85204489,4988191673.06,baostock
