Symbol,Date,Open,High,Low,Close,Volume,Amount,PctChange,Turnover,Source
002415,2025-06-23,636.71434215,643.77586905,636.00818946,643.06971636,19887937,540488460.19,,,baostock
002415,2025-06-24,644.48202174,650.60201172,642.83433213,649.89585903,28127600,774094086.48,,,baostock
002415,2025-06-25,26.5,26.67,26.38,26.66,320566,887219822.31,0.76,0.35,baostock
002415,2025-06-26,26.65,26.83,26.39,26.44,314808,871626806.87,-0.83,0.35,baostock
002415,2025-06-27,26.44,26.69,26.41,26.49,282154,780884763.3,0.19,0.31,baostock
002415,2025-06-30,636.24357369,653.89739094,636.24357369,652.72046979,44230073,1215035054.15,,,baostock
002415,2025-07-01,26.45,26.48,26.23,26.38,328065,901660674.81,-0.75,0.36,baostock
002415,2025-07-02,647.3066325,648.95432211,644.48202174,647.54201673,21287180,584614298.29,,,baostock
002415,2025-07-03,647.07124827,653.42662248,646.36509558,652.24970133,32689225,905049835.34,,,baostock
002415,2025-07-04,26.57,26.65,26.44,26.46,299226,828603656.46,-0.38,0.33,baostock
002415,2025-07-07,650.13124326,650.13124326,644.9527902,645.65894289,22958675,629863850.35,,,baostock
002415,2025-07-08,26.29,26.5,26.29,26.47,256150,706339653.9,0.72,0.28,baostock
002415,2025-07-09,650.36662749,653.66200671,648.48355365,651.54354864,32650256,903779820.93,,,baostock
002415,2025-07-10,651.07278018,655.78046478,648.48355365,653.89739094,30483456,844228428.0,,,baostock
002415,2025-07-11,654.13277517,660.25276515,654.13277517,656.7220017,48918413,1366329581.42,,,baostock
002415,2025-07-14,656.7220017,657.19277016,652.48508556,653.42662248,28636688,795812812.94,,,baostock
002415,2025-07-15,653.42662248,657.89892285,650.36662749,657.42815439,46228837,1284598500.65,,,baostock
002415,2025-07-16,26.66,26.7,26.53,26.57,366518,1017030735.36,-0.78,0.4,baostock
002415,2025-07-17,652.48508556,658.60507554,650.83739595,657.66353862,44850193,1248362421.22,,,baostock
002415,2025-07-18,658.84045977,662.84199168,657.19277016,659.31122823,42985575,1205792652.88,,,baostock
002415,2025-07-21,660.95891784,665.90198667,659.31122823,662.37122322,44539432,1251130075.36,,,baostock
002415,2025-07-22,662.13583899,670.8450555,659.54661246,668.4912132,63659303,1798929052.14,,,baostock
002415,2025-07-23,27.26,27.65,27.05,27.12,657323,1873084917.51,-0.48,0.72,baostock
002415,2025-07-24,664.96044975,674.14043472,664.25429706,674.14043472,48612625,1383918300.14,,,baostock
002415,2025-07-25,27.57,27.67,27.44,27.51,386553,1108600549.33,0.07,0.42,baostock
002415,2025-07-28,676.72966125,678.37735086,669.90351858,672.96351357,46419583,1328452395.2,,,baostock
002415,2025-07-29,27.35,27.44,27.09,27.41,443797,1261139262.84,-0.11,0.49,baostock
002415,2025-07-30,27.4,27.54,27.1,27.34,483652,1378418518.15,-0.26,0.53,baostock
002415,2025-07-31,669.43275012,670.13890281,659.075844,661.4296863,54243077,1530864325.35,,,baostock
002415,2025-08-01,665.19583398,695.79578388,661.4296863,685.20349353,130564407,3793419996.79,,,baostock
002415,2025-08-04,676.72966125,686.14503045,667.78506051,672.49274511,114128187,3266338733.26,,,baostock
002415,2025-08-05,674.61120318,691.79425197,674.61120318,690.38194659,107630133,3133436709.17,,,baostock
002415,2025-08-06,28.15,28.53,28.06,28.13,799404,2351431325.44,-0.18,0.88,baostock
002415,2025-08-07,689.91117813,700.97423694,684.9681093,686.14503045,65613285,1923263399.7,,,baostock
002415,2025-08-08,28.05,28.08,27.61,27.62,512567,1479854187.56,-1.36,0.56,baostock
002415,2025-08-11,677.9065824,681.90811431,675.31735587,679.08350355,49379449,1424360683.14,,,baostock
002415,2025-08-12,684.73272507,697.67885772,683.79118815,688.49887275,66891599,1961048829.3,,,baostock
002415,2025-08-13,689.6757939,697.91424195,688.02810429,694.85424696,65516999,1931536929.03,,,baostock
002415,2025-08-14,28.35,28.5,27.95,28.04,573268,1685314835.48,-1.16,0.63,baostock
002415,2025-08-15,28.02,28.41,28.01,28.41,566379,1663746388.6,1.32,0.62,baostock
002415,2025-08-18,28.46,29.35,28.45,28.87,1093845,3296400496.67,1.62,1.2,baostock
002415,2025-08-19,706.62345846,710.15422191,701.4450054,702.85731078,57784483,1729825287.98,,,baostock
002415,2025-08-20,701.4450054,710.62499037,696.97270503,710.62499037,60242515,1805583307.96,,,baostock
002415,2025-08-21,29.13,29.6,28.9,29.18,700483,2130708778.15,0.48,0.77,baostock
002415,2025-08-22,712.03729575,733.22187645,709.91883768,731.80957107,99802967,3073840134.2,,,baostock
002415,2025-08-25,740.98955604,742.63724565,725.21881263,733.92802914,102105891,3180160108.5,,,baostock
002415,2025-08-26,729.92649723,740.75417181,726.86650224,736.28187144,67290054,2102228949.78,,,baostock
002415,2025-08-27,742.63724565,759.58491021,725.45419686,726.16034955,117736600,3726441578.76,,,baostock
