2026-06-30 13:55:17,413 | agents               | ERROR    | optimized_china_data:_estimate_financial_metrics:841 | ❌ 无法获取股票 000001 的财务数据。已尝试所有数据源（MongoDB、AKShare、Tushare）均失败。
2026-06-30 13:55:17,414 | agents               | WARNING  | optimized_china_data:_generate_fundamentals_report:433 | ⚠️ [基本面分析] 无法获取财务指标: 无法获取股票 000001 的财务数据。已尝试所有数据源（MongoDB、AKShare、Tushare）均失败。
2026-06-30 13:55:17,416 | agents               | WARNING  | agent_utils:get_stock_fundamentals_unified:1020 | ⚠️ [统一基本面工具] 数据模块 1 包含错误信息
2026-06-30 13:55:17,429 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:55:17,429 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:55:17,502 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:55:17,502 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:55:31,586 | dataflows            | ERROR    | data_source_manager:_get_baostock_stock_info:1722 | ❌ [股票信息] BaoStock登录失败: 网络接收错误。
2026-06-30 13:55:31,593 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.BAOSTOCK] 返回无效信息
2026-06-30 13:55:31,595 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1646 | ❌ 所有数据源都无法获取000001的股票信息
2026-06-30 13:55:31,859 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:55:31,859 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:55:31,929 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:55:31,930 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:55:35,236 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:55:35,236 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 13:55:57,419 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:55:57,419 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:55:57,671 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:55:57,672 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:56:00,959 | dataflows            | ERROR    | data_source_manager:_get_baostock_stock_info:1729 | ❌ [股票信息] BaoStock查询失败: 用户未登录
2026-06-30 13:56:00,959 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.BAOSTOCK] 返回无效信息
2026-06-30 13:56:00,959 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1646 | ❌ 所有数据源都无法获取000001的股票信息
2026-06-30 13:56:01,062 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:56:01,062 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 13:56:25,751 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:56:25,752 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 13:56:37,812 | default              | WARNING  | trader:trader_node:43 | ⚠️ [DEBUG] memory可用，获取历史记忆
2026-06-30 13:56:37,913 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:56:37,914 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 13:57:32,924 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:57:32,926 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 13:57:54,301 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:57:54,302 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:57:54,551 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:57:54,551 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:57:59,673 | agents               | ERROR    | agent_utils:get_stock_market_data_unified:1101 | ❌ [市场工具调试] A股数据获取失败: No module named 'app'
2026-06-30 13:58:17,190 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:58:17,191 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:58:17,375 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:58:17,375 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:58:21,361 | agents               | ERROR    | agent_utils:get_stock_fundamentals_unified:877 | ❌ [基本面工具调试] A股价格数据获取失败: No module named 'app'
2026-06-30 13:58:21,364 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:58:21,364 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:58:21,546 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:58:21,546 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:58:25,226 | agents               | ERROR    | optimized_china_data:_estimate_financial_metrics:841 | ❌ 无法获取股票 000001 的财务数据。已尝试所有数据源（MongoDB、AKShare、Tushare）均失败。
2026-06-30 13:58:25,227 | agents               | WARNING  | optimized_china_data:_generate_fundamentals_report:433 | ⚠️ [基本面分析] 无法获取财务指标: 无法获取股票 000001 的财务数据。已尝试所有数据源（MongoDB、AKShare、Tushare）均失败。
2026-06-30 13:58:25,231 | agents               | WARNING  | agent_utils:get_stock_fundamentals_unified:1020 | ⚠️ [统一基本面工具] 数据模块 1 包含错误信息
2026-06-30 13:58:25,238 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:58:25,238 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:58:25,400 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:58:25,401 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:58:40,182 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:58:40,183 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:58:40,367 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:58:40,368 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:58:40,607 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:58:40,607 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 13:59:06,537 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:59:06,537 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:59:06,697 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:59:06,697 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:59:10,904 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:59:10,905 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 13:59:43,663 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 13:59:43,664 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 14:00:00,250 | default              | WARNING  | trader:trader_node:43 | ⚠️ [DEBUG] memory可用，获取历史记忆
2026-06-30 14:00:00,397 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 14:00:00,398 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 14:00:58,037 | agents.utils.memory  | ERROR    | memory:get_embedding:540 | ❌ deepseek embedding异常: Error code: 404
2026-06-30 14:00:58,038 | agents.utils.memory  | WARNING  | memory:get_embedding:542 | ⚠️ 记忆功能降级，返回空向量
2026-06-30 14:01:22,332 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 14:01:22,332 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 14:01:22,529 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 14:01:22,530 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 14:01:27,987 | agents               | ERROR    | agent_utils:get_stock_market_data_unified:1101 | ❌ [市场工具调试] A股数据获取失败: No module named 'app'
2026-06-30 14:01:31,341 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 14:01:31,342 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 14:01:31,486 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 14:01:31,487 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 14:01:35,016 | agents               | ERROR    | agent_utils:get_stock_fundamentals_unified:877 | ❌ [基本面工具调试] A股价格数据获取失败: No module named 'app'
2026-06-30 14:01:35,018 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 14:01:35,018 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 14:01:35,198 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 14:01:35,198 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 14:01:40,294 | agents               | ERROR    | optimized_china_data:_estimate_financial_metrics:841 | ❌ 无法获取股票 000001 的财务数据。已尝试所有数据源（MongoDB、AKShare、Tushare）均失败。
2026-06-30 14:01:40,296 | agents               | WARNING  | optimized_china_data:_generate_fundamentals_report:433 | ⚠️ [基本面分析] 无法获取财务指标: 无法获取股票 000001 的财务数据。已尝试所有数据源（MongoDB、AKShare、Tushare）均失败。
2026-06-30 14:01:40,300 | agents               | WARNING  | agent_utils:get_stock_fundamentals_unified:1020 | ⚠️ [统一基本面工具] 数据模块 1 包含错误信息
2026-06-30 14:01:40,312 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 14:01:40,313 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 14:01:40,503 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 14:01:40,503 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 14:02:01,010 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 14:02:01,011 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 14:02:01,208 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
