source_file,signal_date,field_path,component,status,evidence_level,ok,source,vendor,rows,cutoff_date,retrieved_at,temporal_rule,warning,evidence,time_evidence_count
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-05.json,2025-12-05,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-05.json,2025-12-05,input_state.data_audit_report,news,structured,tool_header,,,,,2025-12-05,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-05.json,2025-12-05,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-05.json,2025-12-05,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-05.json,2025-12-05,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-12.json,2025-12-12,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-12.json,2025-12-12,input_state.fundamentals_report,market,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,无法精确计算净财务杠杆。同时，无审计公告及详细的季度利润表和资产负债表，无法进行更细颗粒度的分析。以上分析完全基于给定的BaoStock财务指标。 #### **3. 估值分析** 估值基于当前价格¥49.70和已披露的财务数据进行分析。 * *,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-12.json,2025-12-12,input_state.data_audit_report,news,structured,tool_header,,,,,2025-12-12,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-12.json,2025-12-12,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-12.json,2025-12-12,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-12.json,2025-12-12,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-19.json,2025-12-19,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-19.json,2025-12-19,input_state.data_audit_report,news,structured,tool_header,,,,,2025-12-19,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-19.json,2025-12-19,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
